School,FiscalYear,NAE_Overall_Average_Fee_USD,NAE_Secondary_Average_Fee_USD,NAE_Sixth_Form_Average_Fee_USD,NAE_Primary_Average_Fee_USD,NAE_EY_Average_Fee_USD,Overall_Gap_Median,Secondary_Gap_Median,Sixth_Form_Gap_Median,Overall_Pct_vs_Median,Secondary_Pct_vs_Median,Mainentance_Capex_sum,Expansion_Capex_sum,CPT_Capex_sum,Mainentance_Capex_std,Expansion_Capex_std,CPT_Capex_std,Revenue,Capex_annual_sum,RegionCode,SubRegionCode,Region,Subregion,City,Country,StudentFTE,CapacityFTE,leads_submitted,enquiries_started,tv_leads_t_plus1,tv_enquiries_t_plus1,tv_fte_t_plus1,tv_leads_t_plus2,tv_enquiries_t_plus2,tv_fte_t_plus2,tv_lead_growth_1yr,tv_enquiry_growth_1yr,tv_fte_growth_1yr,tv_lead_growth_2yr,tv_enquiry_growth_2yr,tv_fte_growth_2yr,EmployeeHeadCountCurrent,EmployeeFTECurrent,DirectContractorHeadCount,Prevailing_Curriculum,Curricula_Offered,Employee_Engagement_Score,MAC_Attrition_Pct,Teachers_Attrition_Pct,Student_Expat_Pct,Student_Local_Pct,Average_Principal_Tenure,Curricula_Offered_IB,Curricula_Offered_IGCSE,Curricula_Offered_A-Levels,Curricula_Offered_MYP,Curricula_Offered_AP,Curricula_Offered_count,school_opened_year,school_age,is_school_mature,nps_score,nps_responses_count,nps_teacher_quality_score,nps_teacher_quality_response_count,nps_education_quality_score,nps_education_quality_response_count,nps_principal_quality_score,nps_principal_quality_response_count,iso2,year,total_enrolment,total_public_enrolment,tv_total_private_enrolment_t_plus1,gdp_growth_pct,gdp_per_capita_growth_pct,market_cap,gross_savings_pct_gdp,total_population,population_0_14_pct_total,urban_population_pct_total,net_migration,inflation_pct,govt_expenditure_on_education_pct_gdp,foreign_dir_investment_net_inflows_pct_gdp,govt_expenditure_on_education_per_student_pct_gdp,household_final_consumption_expenditure,millionaires,eyp_private_enrolment,hnwi_billionaires,hnwi_centi_millionaires,hnwi_millionaire_growth_2014_to_2024,hnwi_number_of_millionaires,Academic_Performance_Index,ReportNameOneStream,iso2_code,country_name,nationality_1,nationality_2,Sum_Years,App,Total Lost/Denied,Percentage,vs Regional AVG,1st Stage,2nd Stage,CvR %,Region Avg,vs Region Avg,CvR % PY,CvR % YoY,Category,Action,Target,Plan to achieve Target,Target Date,Status,Forecast FTE vs Budget %,Forecast FTE vs LY W5 %,Forecast FTE YoY,New Enrolment YoY,Enquiries YoY,Enquiries - Enrolled CVR YoY,Enquiries - Application CVR YoY,Velocity,ReEnroll % Variance,Capacity Utilisation % Current,Capacity Utilisation % Forecast,Employee Engagement Score,MAC Attrition %,Teacher Attrition %,Principal Tenure avg.,Channel_Cross-network,Channel_Direct,Channel_Display,Channel_Email,Channel_Organic Search,Channel_Organic Social,Channel_Paid Other,Channel_Paid Search,Channel_Paid Social,Channel_Referral,Channel_Unassigned,Device_desktop,Device_mobile,Device_tablet,Years Spent_before_leaving_0,Years Spent_before_leaving_1-2,Years Spent_before_leaving_3-5,Years Spent_before_leaving_6-8,Years Spent_before_leaving_9-10,Years Spent_before_leaving_11&above,reason_for_leaving_Academic - Class Size,reason_for_leaving_Academic - Concerns with Academic Progress,reason_for_leaving_Academic - I Want a Single-Sex School for My Child,reason_for_leaving_Academic - Lack of Support for SEND,reason_for_leaving_Academic - Limited Program Offerings,reason_for_leaving_Academic - Not Suitable for Desired University Choice,reason_for_leaving_Academic - Quality of Teaching,reason_for_leaving_Early Entry to Higher Education,reason_for_leaving_Financial - Can No Longer Afford Tuition Costs,reason_for_leaving_Financial - Do Not Feel That I Am Getting Value for Money,reason_for_leaving_Graduate,reason_for_leaving_Lack of Facilities - Inadequate Facilities for SEND,reason_for_leaving_Lack of Facilities - Inadequate Sport/Recreational Facilities,reason_for_leaving_Lack of Facilities - Poor General Maintenance,reason_for_leaving_Moving to State School - Preference for State School,reason_for_leaving_Moving to State School - Proximity of State School,reason_for_leaving_Moving to State School - State School Reputation,reason_for_leaving_Relocating - Different City,reason_for_leaving_Relocating - Different Country,reason_for_leaving_School Decision - Academic Standards Not Achieved,reason_for_leaving_School Decision - Behavioural Issues for Child,reason_for_leaving_School Decision - Non-Payment of Fees,reason_for_leaving_School Decision - Sanctioned List,reason_for_leaving_Social/Personal Issue for Child - Lack of Diversity,reason_for_leaving_Social/Personal Issue for Child - Medical Issues,reason_for_leaving_Social/Personal Issue for Child - Peer Issues,reason_for_leaving_Social/Personal Issue for Child - Teacher/Staff Issues,reason_for_leaving_Temporary Leaver - Medical Leave,reason_for_leaving_Temporary Leaver - Temporary Enrolment in Another School,LeavingStandardisedGrade_Year 0,LeavingStandardisedGrade_Year 1,LeavingStandardisedGrade_Year -1,LeavingStandardisedGrade_Year 10,LeavingStandardisedGrade_Year 11,LeavingStandardisedGrade_Year 12,LeavingStandardisedGrade_Year 13,LeavingStandardisedGrade_Year 2,LeavingStandardisedGrade_Year -2,LeavingStandardisedGrade_Year 3,LeavingStandardisedGrade_Year -3,LeavingStandardisedGrade_Year 4,LeavingStandardisedGrade_Year 5,LeavingStandardisedGrade_Year 6,LeavingStandardisedGrade_Year 7,LeavingStandardisedGrade_Year 8,LeavingStandardisedGrade_Year 9
School1,2022.0,,,,,,,,,,,,,,,,,,,ME,ME,Middle East,Middle East,Abu Dhabi,United Arab Emirates,,,,,1259.0,1091.0,352.0,2175.0,2099.0,865.0,,,,,,,,,,,UK,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,2023.0,-1.0,0.0,,,,,,,,,AE,2022.0,1360135.0,331806.9586,1044804.02,7.509697035,2.176083438,874000000000.0,,10074977.0,16.4756029,87.543,322773.0,5.291226044,,4.522600195,,210000000000.0,68400.0,,,,,,,NAS Abu Dhabi,AE,United Arab Emirates,Emirian,Emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School1,2023.0,,,,,,,,,,,,,,,,,,,ME,ME,Middle East,Middle East,Abu Dhabi,United Arab Emirates,352.0,,1259.0,1091.0,2175.0,2099.0,865.0,2263.0,2523.0,1511.0,0.727561557,0.923923006,1.457386364,0.7974583,1.312557287,1.457386364,,,,,UK,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,2023.0,0.0,0.0,,,,,,,,,AE,2023.0,1414925.0,370120.9804,1092976.953,3.618706531,-0.421510863,994000000000.0,,10483751.0,16.33894254,87.779,300004.0,1.626708372,,5.968824369,,240000000000.0,72500.0,7217.0,,,,,,NAS Abu Dhabi,AE,United Arab Emirates,Emirian,Emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School1,2024.0,23365.66667,23306.0,25449.0,21342.0,17413.0,3914.333333,3630.0,3809.0,0.201237276,0.184488717,2.72e-06,2538.657505,0.0,17.42022359,218.3306236,0.0,7135.554223,2538.657507,ME,ME,Middle East,Middle East,Abu Dhabi,United Arab Emirates,865.0,400.0,2175.0,2099.0,2263.0,2523.0,1511.0,282.0,332.0,,0.04045977,0.202000953,0.746820809,-0.870344828,-0.841829443,0.746820809,,,,,UK,4.2,0.0,0.0,0.8852,0.1148,,0.0,0.0,0.0,0.0,0.0,1.0,2023.0,1.0,0.0,,,,,,,,,AE,2024.0,1480779.0,387802.0475,,3.761615446,0.010374174,1050000000000.0,,10876981.0,16.11097957,88.008,278439.0,1.663365102,,8.496294682,,,81200.0,8117.0,8.0,75.0,0.8,17800.0,,NAS Abu Dhabi,AE,United Arab Emirates,Emirian,Emirati,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School1,2025.0,23359.0,23299.0,25442.0,21336.0,17408.0,3823.833333,3756.0,4061.5,0.195741014,0.192191578,466.9763024,2644.105178,0.0,31.74421215,186.3511018,0.0,19045.96364,3111.08148,ME,ME,Middle East,Middle East,Abu Dhabi,United Arab Emirates,1511.0,2600.0,2263.0,2523.0,282.0,332.0,,,,,-0.875386655,-0.868410622,,,,,265.0,264.5,,,UK,4.21,0.0,0.0869,0.9064,0.0936,1.5,0.0,0.0,0.0,0.0,0.0,1.0,2023.0,2.0,0.0,50.0,234.0,4.405982906,234.0,4.329059829,234.0,4.747863248,234.0,,,,,,,,,,,,,,,,,,,,9111.0,,,,,,NAS Abu Dhabi,AE,United Arab Emirates,Emirian,Emirati,2600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School1,2026.0,,,,,,,,,,,,,,,,,,,ME,ME,Middle East,Middle East,Abu Dhabi,United Arab Emirates,,2600.0,282.0,332.0,,,,,,,,,,,,,277.0,276.5,,,UK,,0.0,0.0869,0.9208,0.0792,1.67,0.0,0.0,0.0,0.0,0.0,1.0,2023.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAS Abu Dhabi,AE,United Arab Emirates,Emirian,Emirati,2600.0,1225.0,558.0,0.455510204,▲ 0 ppt,3106.0,2564.0,0.825499034,0.883839771,-0.058340737,0.728455285,0.09704375,,"Build Growth Infrastructure Hub to front-load Sept 2026 enrolments and reduce late-cycle pressure; Deliver a targeted Secondary growth strategy to increase Secondary utilisation and strengthen long-term stability; Implement a Y4–Y9 Consistency & Clarity Framework to strengthen academic, pastoral and communication alignment across teams; Implement NASAD Retention Index to reduce churn in Years 4–9 and improve overall stability",Increase proportion of Sept 2026 enrolments completed before 1 April from 35% → 50%+; Increase Secondary utilisation from 33.4% → 45% by Sept 2026; Improve staff engagement from 4.2 → 4.4 and reduce communication concerns by 20%; Reduce Y4–Y9 leavers rate by 1% of total roll for Sept 2026 re-enrolment cycle,"Increase early assessment capacity; launch pre-Ramadan offer window; prioritise high-probability families; automate follow-ups; streamline offer-to-accept workflow; early onboarding cycle; targeted Reem cluster engagement; Strengthen Secondary value story (A-Levels, pathways, MIT/UNICEF); improve Secondary conversion by addressing Visit→Enrolment CVR of 55.8% (6% below EYFS, 9% below Primary); run targeted campaigns in high-demand Reem clusters; launch GCSE→A-Level continuity messaging; enhanced SLT touchpoints during tours; Create shared standards for academic updates, pastoral communication and parent feedback cycles; develop teacher confidence in delivering learning narratives; align phase teams on expectations; strengthen whole-child storytelling in Middle Years; Use SCAN + NPS (33 for Y4–Y9), fee sensitivity, historic leaver patterns (40.6% churn in Y4–Y9) and engagement indicators to identify at-risk families; deliver SLT outreach; run transition + wellbeing meetings; strengthen Middle Years value story; targeted academic consistency support",01/04/2026; 01/09/2026; 01/06/2026,In Progress; New,-0.058971142,0.742160279,0.726121979,0.239776952,0.203534778,0.009236518,0.005607269,54.5136897,0.019517961,0.608846154,0.576923077,4.27,0.0,0.0869,1.67,45.0,168.0,0.0,2.0,296.0,0.0,2.0,144.0,0.0,22.0,81.0,429.0,318.0,13.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0
School2,2022.0,,,,,,,,,,,,,,,,,,,ME,ME,Middle East,Middle East,Dubai,United Arab Emirates,,,,,,,2159.0,,,2611.0,,,,,,,,,,IB,"PYP, MYP, IB, IBCP",,,,,,,1.0,0.0,0.0,1.0,0.0,4.0,2023.0,-1.0,0.0,,,,,,,,,AE,2022.0,1360135.0,331806.9586,1044804.02,7.509697035,2.176083438,874000000000.0,,10074977.0,16.4756029,87.543,322773.0,5.291226044,,4.522600195,,210000000000.0,68400.0,,,,,68400.0,,Swiss Dubai,AE,United Arab Emirates,Emirian,Emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School2,2023.0,23143.66667,23479.0,25599.0,20353.0,17099.0,734.6666667,801.5,-129.5,0.032784447,0.035343402,,,,,,,,,ME,ME,Middle East,Middle East,Dubai,United Arab Emirates,2159.0,,,,,,2611.0,1.0,,2918.0,,,0.209356183,,,0.209356183,,,,IB,"PYP, MYP, IB, IBCP",,,,,,,1.0,0.0,0.0,1.0,0.0,4.0,2023.0,0.0,0.0,,,,,,,,,AE,2023.0,1414925.0,370120.9804,1092976.953,3.618706531,-0.421510863,994000000000.0,,10483751.0,16.33894254,87.779,300004.0,1.626708372,,5.968824369,,240000000000.0,72500.0,6974.0,,,,72500.0,,Swiss Dubai,AE,United Arab Emirates,Emirian,Emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School2,2024.0,24812.0,25170.0,27525.0,21741.0,18247.0,84.83333333,299.0,-1068.0,0.003430775,0.012022034,680.5100733,140.844246,427.2030438,70.96355541,26.02832725,68.96973714,50832.23181,1248.557363,ME,ME,Middle East,Middle East,Dubai,United Arab Emirates,2611.0,2535.0,,,1.0,,2918.0,,1.0,,,,0.117579471,,,0.117579471,,,,IB,"PYP, MYP, IB, IBCP",3.84,0.125,,0.9889,0.0111,,1.0,0.0,0.0,1.0,0.0,4.0,2023.0,1.0,0.0,,,,,,,,,AE,2024.0,1480779.0,387802.0475,,3.761615446,0.010374174,1050000000000.0,,10876981.0,16.11097957,88.008,278439.0,1.663365102,,8.496294682,,,81200.0,9144.0,20.0,237.0,1.02,81200.0,0.103495299,Swiss Dubai,AE,United Arab Emirates,Emirian,Emirati,2535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School2,2025.0,26175.66667,26541.0,29086.0,22900.0,19071.0,813.1666667,1031.0,-507.5,0.032061771,0.040415523,983.9676751,2118.274581,425.9417027,97.76954642,397.3479806,54.96968467,62248.78249,3528.183959,ME,ME,Middle East,Middle East,Dubai,United Arab Emirates,2918.0,2812.0,1.0,,,1.0,,,,,,,,,,,438.0,437.5,,IB,"PYP, MYP, IB, IBCP",3.84,0.3333,0.2134,0.9916,0.0084,3.92,1.0,0.0,0.0,1.0,0.0,4.0,2023.0,2.0,0.0,-6.140350877,342.0,3.821637427,342.0,3.625730994,342.0,3.780701754,342.0,,,,,,,,,,,,,,,,,,,,9793.0,,,,,0.142099229,Swiss Dubai,AE,United Arab Emirates,Emirian,Emirati,2812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School2,2026.0,,,,,,,,,,,,,,,,,,,ME,ME,Middle East,Middle East,Dubai,United Arab Emirates,,2812.0,,1.0,,,,,,,,,,,,,445.0,444.0,3.0,IB,"PYP, MYP, IB, IBCP",,0.6486,0.2134,0.9931,0.0069,4.08,1.0,0.0,0.0,1.0,0.0,4.0,2023.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Dubai,AE,United Arab Emirates,Emirian,Emirati,3130.0,,0.0,,▼ -45 ppt,1.0,1.0,1.0,0.883839771,0.116160229,,1.0,CRM & Lead Maximisation; Marketing Effectiveness; School Performance; School Proposition,"Strengthen CRM automation, segmentation and lead scoring; Drive Secondary and BRD Growth YOY; Improve retention through earlier intent collection and personalised follow-up; Brand Positioning","Increase enquiries and conversion; +15 Boarding FTE​'s
+139 Secondary FTE's; 88% retention​​ (whole school)
70% retention (boarding); Reduce DXB switchers and improve NPS YOY","Implement pipeline health checks and follow-up SOPs by section Deploy new segmented HTML nurturing workflows.; Group tour mornings addressing NPS themes (communication, academic rigour.
Marketing campaign aligned to SCAN insights on pathways, university destinations and academic outcomes.​
Regional Boarding recruitment to address market dependency.
NAE assessment mornings. as confidence drivers.; Strengthen follow-up processes for confirmed
leavers​ - a ""whole school"" approach as part of retention committee.
Use leavers' survey data to address common reasons for
transfer.
Compelling narrative for existing families; newsletters,
SM​.
Commence intent / re-enrolment process earlier, and involve families in the planning for the school year ahead. Leaver survey insights used to address top 3 reasons for transfer.
Parent engagement & narrative reinforcement via SM + newsletters.; Refine brand narrative to centre on bilingualism and
boarding experience.​

Launch digital marketing in
languages.​

New brand videos
positioning SISD around
bilingualism and boarding. ​​",2026-08-01 00:00:00,In Progress,-0.002045687,0.117602138,0.111659704,,,,,,-0.021882867,0.936102236,0.93514377,3.88,0.6486,0.2134,4.08,187.0,58.0,0.0,0.0,139.0,1.0,0.0,8.0,8.0,10.0,87.0,194.0,302.0,2.0,29.0,16.0,10.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,6.0,9.0,6.0,0.0,1.0,0.0,2.0,3.0,3.0,4.0,6.0,5.0
